"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU40" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU23" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" "Unassigned"
"OTU37" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU31" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU3" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU9" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU13" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Parasutterella" "Unassigned"
"OTU14" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "Unassigned"
"OTU20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Unassigned" "Unassigned"
"OTU43" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU68" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Ruminococcus2" "Unassigned"
"OTU66" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU73" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Hungatella" "Unassigned"
"OTU89" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "Unassigned"
"OTU87" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU86" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU52" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Dorea" "Unassigned"
"OTU51" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU59" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU47" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Megasphaera" "Unassigned"
"OTU55" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU196" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Varibaculum" "Unassigned"
"OTU345" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVb" "Unassigned"
"OTU308" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU318" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Unassigned" "Unassigned"
"OTU347" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU400" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU357" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU384" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU283" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Dialister" "Unassigned"
"OTU223" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemania" "Unassigned"
"OTU220" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Butyricimonas" "Unassigned"
"OTU227" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" "Unassigned"
"OTU202" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU207" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU231" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Negativicoccus" "Unassigned"
"OTU270" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU268" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Leuconostocaceae" "Leuconostoc" "Unassigned"
"OTU254" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Allisonella" "Unassigned"
"OTU238" "Bacteria" "Actinobacteria" "Actinobacteria" "Coriobacteriales" "Coriobacteriaceae" "Unassigned" "Unassigned"
"OTU1347" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1388" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1257" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU1206" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1267" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU1579" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1596" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1639" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU1657" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU1472" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1449" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Unassigned" "Unassigned" "Unassigned"
"OTU1534" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1532" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1486" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU990" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Unassigned" "Unassigned"
"OTU1007" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemanella" "Unassigned"
"OTU871" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Dialister" "Unassigned"
"OTU876" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1134" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Sutterella" "Unassigned"
"OTU1150" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Chryseobacterium" "Unassigned"
"OTU1106" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU1193" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1102" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU1052" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU1017" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Unassigned" "Unassigned"
"OTU2315" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU2318" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2285" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU2303" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2361" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2280" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2224" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2217" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU2230" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU2194" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU2264" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2279" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" "Unassigned" "Unassigned"
"OTU2268" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2235" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Unassigned" "Unassigned" "Unassigned"
"OTU2233" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Corynebacteriaceae" "Corynebacterium" "Unassigned"
"OTU2505" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU2488" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU2548" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2512" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2393" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Coprococcus" "Unassigned"
"OTU2452" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2476" "Bacteria" "Firmicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU1866" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU1862" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU1935" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1903" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1851" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU1788" "Bacteria" "Actinobacteria" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU1763" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" "Unassigned"
"OTU1766" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1770" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2103" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Unassigned" "Unassigned"
"OTU2113" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2097" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2182" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Unassigned" "Unassigned"
"OTU2135" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2166" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU2149" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU1952" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Eubacterium" "Unassigned"
"OTU1973" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "Unassigned"
"OTU2000" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2046" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2036" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2050" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU3065" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU3064" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU3069" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" "Unassigned" "Unassigned"
"OTU3053" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU3072" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU3089" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU3045" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2999" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2951" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2964" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2968" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU3128" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU3314" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU3206" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU3204" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU2662" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU2656" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2673" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Unassigned" "Unassigned" "Unassigned"
"OTU2760" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU2750" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2708" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2724" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2580" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU2568" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2565" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Coprococcus" "Unassigned"
"OTU2616" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU2881" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU2910" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2891" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Dialister" "Unassigned"
"OTU2887" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2782" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "Unassigned"
"OTU2828" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU543" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Unassigned" "Unassigned" "Unassigned"
"OTU633" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoanaerobaculum" "Unassigned"
"OTU640" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU529" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Cloacibacterium" "Unassigned"
"OTU444" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU460" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU438" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU503" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU501" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU500" "Bacteria" "Actinobacteria" "Actinobacteria" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU515" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU508" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU467" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Unassigned" "Unassigned"
"OTU486" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU479" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU796" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU814" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU808" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU791" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU795" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Unassigned"
"OTU874" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU830" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU701" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU679" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU710" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Eisenbergiella" "Unassigned"
"OTU760" "Bacteria" "Candidatus_Saccharibacteria" "Saccharibacteria_genera_incertae_sedis" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU713" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU402" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU110" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU109" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU107" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU114" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU112" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Eubacterium" "Unassigned"
"OTU111" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU95" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU93" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Coprococcus" "Unassigned"
"OTU91" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU106" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU104" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU100" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU147" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "Unassigned"
"OTU145" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU119" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Dorea" "Unassigned"
"OTU117" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU131" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU84" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU33" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" "Unassigned"
"OTU28" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "Unassigned"
"OTU27" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Fusicatenibacter" "Unassigned"
"OTU46" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" "Unassigned"
"OTU36" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Flavonifractor" "Unassigned"
"OTU34" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU10" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Akkermansia" "Unassigned"
"OTU5" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Escherichia/Shigella" "Unassigned"
"OTU25" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU17" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" "Unassigned"
"OTU12" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Dialister" "Unassigned"
"OTU48" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU74" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Unassigned" "Unassigned"
"OTU71" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU79" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Unassigned" "Unassigned" "Unassigned"
"OTU69" "Bacteria" "Firmicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU78" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" "Bilophila" "Unassigned"
"OTU75" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Unassigned" "Unassigned"
"OTU49" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU56" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU58" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" "Unassigned"
"OTU64" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU63" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
