"G36144" "G36291" "G64946" "G65809" "G66142" "G66147" "G66652" "G68204" "G68397" "G68498" "G72911" "G73845"
"OTU2036" 0 0 3 0 0 0 0 0 0 0 0 0
"OTU204" 0 0 0 37 1 0 0 0 1 0 0 0
"OTU2045" 0 0 0 2 3 0 0 0 0 0 0 0
"OTU2046" 0 2 0 0 3 31 0 0 0 0 0 0
"OTU2047" 0 2 0 0 5 6 0 0 1 0 0 0
"OTU2050" 0 0 0 1 0 0 0 0 0 0 0 0
"OTU206" 0 0 0 0 0 0 0 0 0 39 0 0
"OTU207" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU2079" 0 0 0 0 0 1 0 0 0 4 1 0
"OTU2080" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU2093" 0 0 0 0 0 0 0 0 0 182 0 0
"OTU2097" 0 0 6 0 0 0 0 0 0 2 0 0
"OTU21" 5634 55 51 3 236 924 126 184 394 6 106 1073
"OTU2103" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU211" 0 0 0 0 2 4 0 2 1 0 0 0
"OTU2113" 0 0 0 0 0 12 0 0 0 0 0 0
"OTU2130" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU2135" 0 0 0 0 0 0 0 7 0 0 0 0
"OTU2149" 0 0 0 0 5 2 0 0 0 0 0 0
"OTU215" 0 0 0 0 0 32 0 0 0 0 0 0
"OTU2159" 0 0 5 0 0 0 0 0 1 1 0 0
"OTU2166" 0 1 0 0 0 4 0 0 0 0 0 0
"OTU217" 1 13 5 0 0 0 0 0 0 9 0 0
"OTU2175" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU2179" 0 0 4 0 0 0 0 0 0 33 0 0
"OTU2182" 0 0 0 0 0 0 0 3 0 20 0 0
"OTU2183" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU2188" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU219" 0 0 0 0 0 0 0 0 0 170 0 0
"OTU2194" 3 0 0 0 0 0 0 0 2 0 0 0
"OTU22" 0 1471 1 472 33 0 64 0 0 0 0 0
"OTU220" 0 0 112 0 0 0 0 0 0 0 0 0
"OTU2204" 0 13 13 0 4 293 0 0 2 0 5 0
"OTU2217" 0 2 3 0 9 10 0 0 0 0 0 0
"OTU2223" 0 0 0 0 0 1 0 0 1 0 0 0
"OTU2224" 0 14 1 0 4 23 0 0 5 0 0 2
"OTU2225" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU2227" 0 0 0 0 0 0 0 6 0 0 0 0
"OTU223" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU2230" 0 2 0 0 0 0 0 0 0 0 0 0
"OTU2233" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU2234" 0 0 0 0 0 0 0 0 3 0 1 0
"OTU2235" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU2236" 0 0 247 0 38 45 0 0 0 0 0 0
"OTU2238" 1 0 5 0 0 0 0 2 0 0 0 0
"OTU2240" 0 0 0 0 0 5 0 0 0 0 0 0
"OTU2246" 0 0 2 0 0 0 2 0 0 0 0 39
"OTU2251" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU2264" 0 0 0 0 0 29 0 0 0 0 0 0
"OTU2268" 0 0 1 0 0 97 0 0 0 0 3 0
"OTU227" 0 0 1 0 3 5 3 0 0 0 0 17
"OTU2275" 0 0 0 0 4 0 0 0 0 0 0 0
"OTU2278" 0 0 0 0 0 4 0 0 0 0 0 0
"OTU2279" 0 10 0 0 0 0 0 0 0 0 0 0
"OTU2280" 0 10 0 0 0 0 0 0 0 0 0 0
"OTU2281" 0 14 0 0 0 0 0 0 0 0 0 0
"OTU2285" 0 13 0 0 1 0 0 0 0 0 0 0
"OTU2299" 24 0 0 0 0 0 0 0 0 0 0 0
"OTU23" 40 1 44 2358 9 55 50 0 5 0 0 115
"OTU230" 0 0 0 0 0 0 0 0 0 167 0 0
"OTU2303" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU231" 1 0 0 0 0 2 0 0 0 0 0 1
"OTU2315" 0 0 0 0 0 3 0 3 0 0 0 0
"OTU2318" 0 0 0 0 0 0 0 0 109 0 0 0
"OTU2319" 0 74 0 0 0 0 0 0 0 0 0 0
"OTU2321" 0 1 0 0 0 0 0 0 0 0 0 0
